Codigo	PI	T	PU	T	CFH	T	CM	T	DSCT	T	M1	T	M2	T	GF	T	AJ	T
2041083					1	4,694986806	2	18,05276389	3	57			4	120,75	6	17,25	5	17,25
2031373					1	2,892004779	2	10,78897304							4	32,58333333	3	63,25
2041478					1	3,481097917	2	10,24006548			3	40,25						
2030819					1	3,39005625	2	5,837208333			3	28,75						
2039161			1	13,62112617			2	4,361461727	3	26,92898237								
2039163			1	8,800004643			2	3,004576754	3	10,22302083								
2037539			1	15,44843405			2	3,555794192	3	13,42385417							4	201,25
2030820			1	80							2	109,25						
2044166			1	60							2	86,25						
2031284			1	187,853117									2	166,75				
2045565			1	104,4610703											3	86,25	2	17,25
2007064			1	6,361260097			2	2,392319444	3	14,02904167							4	28,75
2046627			1	9,724863842			2	10,72683796	3	21,48104167							4	23
2043475					1	2,736211553	2	10,68811742									3	40,25
2007008					1	2,57068125	2	5,600238636	3	16,39316288								
2031286					1	7,486979167	2	19,33054167	3	55,98104167							4	109,25
